Restaurant,Year,dish_count
Waldorf Astoria,1896,225.6774
Waldorf Astoria,1897,186
Waldorf Astoria,1900,180.6289
Waldorf Astoria,1905,232.1714
Waldorf Astoria,1906,117.6707
Waldorf Astoria,1907,209.4316
Waldorf Astoria,1912,166.995
Waldorf Astoria,1913,185.4155
Waldorf Astoria,1914,433.4067
Waldorf Astoria,1915,201.4533
Waldorf Astoria,1916,316.4969
Waldorf Astoria,1917,192.1116
Childs,1900,80.01695
Childs,1901,138
Childs,1907,110.56989
Childs,1914,92.03512
Childs,1916,120
Childs,1917,119.86884
